"","X1","X2","X4","X6","X8","NRM","UPC","INDEPENDENT","FDC","UFA","DP","PPP","SDP","JEEMA","PDP","CP","LDT","W","NA"
"1",1,"APAC","KWANIA COUNTY","ADUKU","ADYEDA","193 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"APAC","KWANIA COUNTY","ADUKU","ADYEDA",NA,"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"APAC","KWANIA COUNTY","ADUKU","ALIRA",NA,"631 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"APAC","KWANIA COUNTY","ADUKU","ALIRA","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG",NA,NA,"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG","258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG",NA,"359 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"APAC","KWANIA COUNTY","ADUKU","ABOKO",NA,"753 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"APAC","KWANIA COUNTY","ADUKU","ABOKO","741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"APAC","KWANIA COUNTY","ADUKU","APIRE","407 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"APAC","KWANIA COUNTY","ADUKU","APIRE",NA,"395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI",NA,NA,"546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI","271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI",NA,"604 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"APAC","KWANIA COUNTY","CAWENTE","ACENLWORO","272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"APAC","KWANIA COUNTY","CAWENTE","ACENLWORO",NA,"517 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"APAC","KWANIA COUNTY","CAWENTE","ATULE",NA,"517 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"APAC","KWANIA COUNTY","CAWENTE","ATULE","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"APAC","KWANIA COUNTY","CAWENTE","ALIDO","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"APAC","KWANIA COUNTY","CAWENTE","ALIDO",NA,"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"APAC","KWANIA COUNTY","CAWENTE","ALIDO",NA,NA,NA,"459 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"APAC","KWANIA COUNTY","CAWENTE","AJAR","382 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"APAC","KWANIA COUNTY","CAWENTE","AJAR",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"APAC","KWANIA COUNTY","CAWENTE","AJAR",NA,NA,"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"APAC","KWANIA COUNTY","INOMO","AGWICIRI",NA,"512 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"APAC","KWANIA COUNTY","INOMO","AGWICIRI","373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"APAC","KWANIA COUNTY","INOMO","ABEDMOT","432 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"APAC","KWANIA COUNTY","INOMO","ABEDMOT",NA,"394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"APAC","KWANIA COUNTY","INOMO","AJOK","476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"APAC","KWANIA COUNTY","INOMO","AJOK",NA,"697 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"APAC","KWANIA COUNTY","INOMO","INOMO",NA,"375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"APAC","KWANIA COUNTY","INOMO","INOMO","487 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"APAC","KWANIA COUNTY","INOMO","ALUKA","232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"APAC","KWANIA COUNTY","INOMO","ALUKA",NA,"326 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"APAC","KWANIA COUNTY","NAMBIESO","OWINY","411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"APAC","KWANIA COUNTY","NAMBIESO","OWINY",NA,"415 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"APAC","KWANIA COUNTY","NAMBIESO","AYABI",NA,NA,NA,"495 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"APAC","KWANIA COUNTY","NAMBIESO","AYABI","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"APAC","KWANIA COUNTY","NAMBIESO","AORNGA",NA,"411 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"APAC","KWANIA COUNTY","NAMBIESO","AORNGA","377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI",NA,"455 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI",NA,NA,"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"APAC","KWANIA COUNTY","NAMBIESO","ABULI",NA,"397 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"APAC","KWANIA COUNTY","NAMBIESO","ABULI",NA,NA,"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"APAC","KWANIA COUNTY","NAMBIESO","ABULI","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"APAC","KWANIA COUNTY","NAMBIESO","BUNG",NA,"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"APAC","KWANIA COUNTY","NAMBIESO","BUNG","525 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"APAC","KWANIA COUNTY","NAMBIESO","ACABA",NA,"463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"APAC","KWANIA COUNTY","NAMBIESO","ACABA","468 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR",NA,"223 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR","144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"APAC","KWANIA COUNTY","NAMBIESO","OGWIL",NA,NA,NA,"220 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"APAC","KWANIA COUNTY","NAMBIESO","OGWIL","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"APAC","KWANIA COUNTY","ABONGOMOLA","AKALI",NA,"460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"APAC","KWANIA COUNTY","ABONGOMOLA","AKALI","497 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"APAC","KWANIA COUNTY","ABONGOMOLA","ABWONG","463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"APAC","KWANIA COUNTY","ABONGOMOLA","ABWONG",NA,"511 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,"399 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI","213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,NA,"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,NA,"407 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY","389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,NA,NA,"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"APAC","KWANIA COUNTY","ABONGOMOLA","AMORIGOGA","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"APAC","KWANIA COUNTY","ABONGOMOLA","AMORIGOGA",NA,NA,"587 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"APAC","KWANIA COUNTY","ABONGOMOLA","AMORIGOGA",NA,"536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD B","184 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD B",NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD B",NA,NA,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD B",NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD A",NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD A","235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","TEDUKA WARD A",NA,NA,"303 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","IKWERA WARD",NA,"252 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","IKWERA WARD","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"APAC","KWANIA COUNTY","ADUKU TOWN COUNCIL","IKWERA WARD",NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"APAC","MARUZI COUNTY","AKOKORO","AYAGO","383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"APAC","MARUZI COUNTY","AKOKORO","AYAGO",NA,"454 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"APAC","MARUZI COUNTY","AKOKORO","APOI",NA,"424 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"APAC","MARUZI COUNTY","AKOKORO","APOI",NA,NA,"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"APAC","MARUZI COUNTY","AKOKORO","AKOKORO","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,"APAC","MARUZI COUNTY","AKOKORO","AKOKORO",NA,"519 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"APAC","MARUZI COUNTY","AKOKORO","AWILA","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,"APAC","MARUZI COUNTY","AKOKORO","AWILA",NA,"544 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,"APAC","MARUZI COUNTY","AKOKORO","AYEOLYEC",NA,"616 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"APAC","MARUZI COUNTY","AKOKORO","AYEOLYEC","246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"APAC","MARUZI COUNTY","AKOKORO","KUNGU",NA,"371 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"APAC","MARUZI COUNTY","AKOKORO","KUNGU","287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"APAC","MARUZI COUNTY","AKOKORO","ALARO",NA,NA,NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"APAC","MARUZI COUNTY","AKOKORO","ALARO",NA,"458 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"APAC","MARUZI COUNTY","AKOKORO","ALARO","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"APAC","MARUZI COUNTY","AKOKORO","ALARO",NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"APAC","MARUZI COUNTY","AKOKORO","AMUN",NA,"349 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"APAC","MARUZI COUNTY","AKOKORO","AMUN","274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"APAC","MARUZI COUNTY","APAC","ATIK","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"APAC","MARUZI COUNTY","APAC","ATIK",NA,"641 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"APAC","MARUZI COUNTY","APAC","ATIK",NA,NA,NA,"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"APAC","MARUZI COUNTY","APAC","ATOPI",NA,NA,NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"APAC","MARUZI COUNTY","APAC","ATOPI",NA,"671 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"APAC","MARUZI COUNTY","APAC","ATOPI","280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,"APAC","MARUZI COUNTY","APAC","AKERE","346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"APAC","MARUZI COUNTY","APAC","AKERE",NA,"766 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,"APAC","MARUZI COUNTY","APAC","ATANA",NA,NA,"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"APAC","MARUZI COUNTY","APAC","ATANA",NA,"556 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"APAC","MARUZI COUNTY","APAC","ATANA","219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"APAC","MARUZI COUNTY","APAC","ABEDI",NA,"NA Unopposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","EASTERN WARD A","169 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","EASTERN WARD A",NA,"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","EASTERN WARD A",NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","WESTERN WARD A","194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","WESTERN WARD A",NA,"363 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","EASTERN WARD B","219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","EASTERN WARD B",NA,"395 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","WESTERN WARD B",NA,"607 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"APAC","MARUZI COUNTY","APAC TOWN COUNCIL","WESTERN WARD B","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"APAC","MARUZI COUNTY","CHEGERE","KIDILANI","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"APAC","MARUZI COUNTY","CHEGERE","KIDILANI",NA,"437 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,"APAC","MARUZI COUNTY","CHEGERE","KIDILANI",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"APAC","MARUZI COUNTY","CHEGERE","CHEGERE",NA,"410 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"APAC","MARUZI COUNTY","CHEGERE","CHEGERE","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"APAC","MARUZI COUNTY","CHEGERE","ATIGOLWOK",NA,"187 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,"APAC","MARUZI COUNTY","CHEGERE","ATIGOLWOK","117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,"APAC","MARUZI COUNTY","CHEGERE","BARODILO","NA Unopposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"APAC","MARUZI COUNTY","CHEGERE","TEBOKE","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"APAC","MARUZI COUNTY","CHEGERE","TEBOKE",NA,NA,NA,"430 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"APAC","MARUZI COUNTY","CHEGERE","TEBOKE",NA,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"APAC","MARUZI COUNTY","CHEGERE","ILEE",NA,"301 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"APAC","MARUZI COUNTY","CHEGERE","ILEE","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,"APAC","MARUZI COUNTY","CHEGERE","ADEM",NA,"315 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"APAC","MARUZI COUNTY","CHEGERE","ADEM","184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"APAC","MARUZI COUNTY","CHEGERE","AGONG",NA,"275 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,"APAC","MARUZI COUNTY","CHEGERE","AGONG","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",137,"APAC","MARUZI COUNTY","CHEGERE","OLOLANGO",NA,"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,"APAC","MARUZI COUNTY","CHEGERE","OLOLANGO","255 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,"APAC","MARUZI COUNTY","CHEGERE","ONGICA","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",140,"APAC","MARUZI COUNTY","CHEGERE","ONGICA",NA,"304 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",141,"APAC","MARUZI COUNTY","IBUJE","AGANGA",NA,"698 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",142,"APAC","MARUZI COUNTY","IBUJE","AGANGA","213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",143,"APAC","MARUZI COUNTY","IBUJE","TAROGALI",NA,NA,"433 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,"APAC","MARUZI COUNTY","IBUJE","TAROGALI",NA,"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,"APAC","MARUZI COUNTY","IBUJE","TAROGALI","364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"APAC","MARUZI COUNTY","IBUJE","AKETO",NA,"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",147,"APAC","MARUZI COUNTY","IBUJE","AKETO","997 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",148,"APAC","MARUZI COUNTY","IBUJE","AMII",NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",149,"APAC","MARUZI COUNTY","IBUJE","AMII",NA,"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",150,"APAC","MARUZI COUNTY","IBUJE","AMII","350 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",151,"APAC","MARUZI COUNTY","IBUJE","ALWOROCENG",NA,"652 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,"APAC","MARUZI COUNTY","IBUJE","ALWOROCENG","394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,"APAC","MARUZI COUNTY","IBUJE","AMILO","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,"APAC","MARUZI COUNTY","IBUJE","AMILO",NA,"797 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",155,"ARUA","AYIVU COUNTY","ADUMI","ANYARA","NA Unopposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,"ARUA","AYIVU COUNTY","ADUMI","KATI",NA,"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,"ARUA","AYIVU COUNTY","ADUMI","KATI","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",158,"ARUA","AYIVU COUNTY","ADUMI","KATI",NA,NA,NA,"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,"ARUA","AYIVU COUNTY","ADUMI","KATI",NA,NA,"325 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",160,"ARUA","AYIVU COUNTY","ADUMI","MITE","NA Unopposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,"ARUA","AYIVU COUNTY","ADUMI","NYIOVURA",NA,NA,NA,NA,NA,NA,"341",NA,NA,NA,NA,NA,NA,NA
"162",162,"ARUA","AYIVU COUNTY","ADUMI","NYIOVURA","464 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,"ARUA","AYIVU COUNTY","ADUMI","OMBACHI",NA,NA,NA,"416 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,"ARUA","AYIVU COUNTY","ADUMI","OMBACHI","307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,"ARUA","AYIVU COUNTY","AROI","ALIBA",NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,"ARUA","AYIVU COUNTY","AROI","ALIBA","187 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,"ARUA","AYIVU COUNTY","AROI","ALIVU",NA,NA,NA,"176 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,"ARUA","AYIVU COUNTY","AROI","ALIVU","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,"ARUA","AYIVU COUNTY","AROI","BURA",NA,NA,NA,"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,"ARUA","AYIVU COUNTY","AROI","BURA","156 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"ARUA","AYIVU COUNTY","AROI","MICU",NA,NA,"302 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"ARUA","AYIVU COUNTY","AROI","MICU","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,"ARUA","AYIVU COUNTY","AROI","ROBU","NA Unopposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,"ARUA","AYIVU COUNTY","AROI","KAMULE",NA,NA,NA,"140 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,"ARUA","AYIVU COUNTY","AROI","KAMULE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,"ARUA","AYIVU COUNTY","OLUKO","NYIO","318 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,"ARUA","AYIVU COUNTY","OLUKO","NYIO",NA,NA,NA,"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
